/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for guava_...
Dataset size: (7808, 12)
Class number: 2
Training set size: (6246, 8)
Validating set size: (1562, 8)
Positive examples : 2890
Negative examples : 4918
Preprossing finished, time cost : 0:00:00.271879
Data splited and saved in ../input/guava/var/guava_.var_train.csv and ../input/guava/var/guava_.var_valid.csv
Training set size: (7808, 9)
Validataion set size: (1562, 9)
Training the model...
[0]	train-error:0.189037	eval-error:0.165813
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[449]	train-error:0.085681	eval-error:0.081306
[450]	train-error:0.085681	eval-error:0.081946
[451]	train-error:0.085553	eval-error:0.081946
[452]	train-error:0.085425	eval-error:0.081946
[453]	train-error:0.085169	eval-error:0.081306
[454]	train-error:0.085169	eval-error:0.080026
[455]	train-error:0.085425	eval-error:0.081946
[456]	train-error:0.085425	eval-error:0.081946
[457]	train-error:0.085809	eval-error:0.081946
[458]	train-error:0.085425	eval-error:0.080026
[459]	train-error:0.085425	eval-error:0.080666
[460]	train-error:0.085425	eval-error:0.080026
[461]	train-error:0.085681	eval-error:0.081946
[462]	train-error:0.085553	eval-error:0.081306
[463]	train-error:0.085553	eval-error:0.080666
[464]	train-error:0.085809	eval-error:0.081306
[465]	train-error:0.085809	eval-error:0.081306
[466]	train-error:0.085809	eval-error:0.081306
[467]	train-error:0.085809	eval-error:0.081946
[468]	train-error:0.085425	eval-error:0.080666
[469]	train-error:0.085297	eval-error:0.080666
[470]	train-error:0.084785	eval-error:0.080026
[471]	train-error:0.085297	eval-error:0.081306
[472]	train-error:0.085425	eval-error:0.081306
[473]	train-error:0.085169	eval-error:0.081306
[474]	train-error:0.084913	eval-error:0.081306
[475]	train-error:0.085297	eval-error:0.081946
[476]	train-error:0.085169	eval-error:0.081946
[477]	train-error:0.085297	eval-error:0.081946
[478]	train-error:0.085297	eval-error:0.081946
[479]	train-error:0.085169	eval-error:0.081306
[480]	train-error:0.085297	eval-error:0.081946
[481]	train-error:0.085169	eval-error:0.082586
[482]	train-error:0.085041	eval-error:0.082586
[483]	train-error:0.084913	eval-error:0.081946
[484]	train-error:0.084913	eval-error:0.081946
[485]	train-error:0.084785	eval-error:0.081946
[486]	train-error:0.085041	eval-error:0.082586
[487]	train-error:0.084913	eval-error:0.081946
