/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for RxJava_...
Dataset size: (5253, 12)
Class number: 2
Training set size: (4202, 8)
Validating set size: (1051, 8)
Positive examples : 2001
Negative examples : 3252
Preprossing finished, time cost : 0:00:00.067141
Data splited and saved in ../input/RxJava/var/RxJava_.var_train.csv and ../input/RxJava/var/RxJava_.var_valid.csv
Training set size: (5253, 9)
Validataion set size: (1051, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.233581	eval-error:0.2255
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[419]	train-error:0.105464	eval-error:0.099905
[420]	train-error:0.105464	eval-error:0.100856
[421]	train-error:0.105464	eval-error:0.101808
[422]	train-error:0.105273	eval-error:0.100856
[423]	train-error:0.105464	eval-error:0.102759
[424]	train-error:0.105654	eval-error:0.104662
[425]	train-error:0.105464	eval-error:0.103711
[426]	train-error:0.105464	eval-error:0.104662
[427]	train-error:0.105273	eval-error:0.104662
[428]	train-error:0.105273	eval-error:0.105614
[429]	train-error:0.105083	eval-error:0.103711
[430]	train-error:0.105083	eval-error:0.104662
[431]	train-error:0.104892	eval-error:0.103711
[432]	train-error:0.105083	eval-error:0.104662
[433]	train-error:0.105083	eval-error:0.104662
[434]	train-error:0.105083	eval-error:0.105614
[435]	train-error:0.105083	eval-error:0.105614
[436]	train-error:0.105083	eval-error:0.106565
[437]	train-error:0.105083	eval-error:0.105614
[438]	train-error:0.105083	eval-error:0.105614
[439]	train-error:0.104892	eval-error:0.106565
[440]	train-error:0.105083	eval-error:0.107517
[441]	train-error:0.105083	eval-error:0.105614
[442]	train-error:0.105083	eval-error:0.105614
[443]	train-error:0.104892	eval-error:0.105614
[444]	train-error:0.105083	eval-error:0.105614
[445]	train-error:0.104892	eval-error:0.104662
[446]	train-error:0.104702	eval-error:0.104662
[447]	train-error:0.104512	eval-error:0.104662
[448]	train-error:0.104512	eval-error:0.103711
[449]	train-error:0.104892	eval-error:0.104662
[450]	train-error:0.104702	eval-error:0.103711
[451]	train-error:0.104512	eval-error:0.103711
[452]	train-error:0.104702	eval-error:0.102759
[453]	train-error:0.104702	eval-error:0.102759
[454]	train-error:0.104512	eval-error:0.103711
[455]	train-error:0.104512	eval-error:0.102759
[456]	train-error:0.104702	eval-error:0.103711
[457]	train-error:0.104512	eval-error:0.103711
[458]	train-error:0.104512	eval-error:0.102759
[459]	train-error:0.104512	eval-error:0.101808
[460]	train-error:0.104321	eval-error:0.104662
[461]	train-error:0.104702	eval-error:0.105614
[462]	train-error:0.104702	eval-error:0.104662
[463]	train-error:0.104702	eval-error:0.103711
[464]	train-error:0.104702	eval-error:0.102759
[465]	train-error:0.104702	eval-error:0.103711
[466]	train-error:0.104512	eval-error:0.102759
[467]	train-error:0.104512	eval-error:0.101808
[468]	train-error:0.104702	eval-error:0.099905
[469]	train-error:0.104702	eval-error:0.100856
[470]	train-error:0.104321	eval-error:0.100856
[471]	train-error:0.104512	eval-error:0.100856
[472]	train-error:0.104702	eval-error:0.102759
[473]	train-error:0.104131	eval-error:0.102759
[474]	train-error:0.104512	eval-error:0.103711
[475]	train-error:0.104512	eval-error:0.100856
[476]	train-error:0.104702	eval-error:0.101808
[477]	train-error:0.104702	eval-error:0.102759
[478]	train-error:0.104512	eval-error:0.102759
[479]	train-error:0.104512	eval-error:0.101808
[480]	train-error:0.104512	eval-error:0.102759
[481]	train-error:0.104702	eval-error:0.101808
[482]	train-error:0.104702	eval-error:0.101808
[483]	train-error:0.104512	eval-error:0.101808
[484]	train-error:0.104512	eval-error:0.100856
[485]	train-error:0.104512	eval-error:0.101808
[486]	train-error:0.104512	eval-error:0.102759
[487]	train-error:0.104321	eval-error:0.102759
[488]	train-error:0.104131	eval-error:0.103711
