/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for chart_26...
Dataset size: (55252, 12)
Class number: 2
Training set size: (44201, 8)
Validating set size: (11051, 8)
Positive examples : 10241
Negative examples : 45011
Preprossing finished, time cost : 0:00:01.476552
Data splited and saved in ../input/chart/var/chart_26.var_train.csv and ../input/chart/var/chart_26.var_valid.csv
Training set size: (55252, 9)
Validataion set size: (11051, 9)
Training the model...
[0]	train-error:0.114819	eval-error:0.116189
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[315]	train-error:0.07549	eval-error:0.077097
[316]	train-error:0.075382	eval-error:0.076826
[317]	train-error:0.075382	eval-error:0.076916
[318]	train-error:0.075291	eval-error:0.076735
[319]	train-error:0.075237	eval-error:0.076826
[320]	train-error:0.075309	eval-error:0.076554
[321]	train-error:0.075291	eval-error:0.076735
[322]	train-error:0.075237	eval-error:0.076645
[323]	train-error:0.075219	eval-error:0.076554
[324]	train-error:0.075147	eval-error:0.076645
[325]	train-error:0.075147	eval-error:0.076735
[326]	train-error:0.075147	eval-error:0.076735
[327]	train-error:0.07502	eval-error:0.076645
[328]	train-error:0.07502	eval-error:0.076464
[329]	train-error:0.074966	eval-error:0.076464
[330]	train-error:0.074929	eval-error:0.076464
[331]	train-error:0.074857	eval-error:0.076283
[332]	train-error:0.074911	eval-error:0.076554
[333]	train-error:0.074857	eval-error:0.076283
[334]	train-error:0.074948	eval-error:0.076373
[335]	train-error:0.074875	eval-error:0.076011
[336]	train-error:0.074911	eval-error:0.076283
[337]	train-error:0.074893	eval-error:0.076102
[338]	train-error:0.074948	eval-error:0.076192
[339]	train-error:0.074948	eval-error:0.076102
[340]	train-error:0.074821	eval-error:0.07574
[341]	train-error:0.074875	eval-error:0.07574
[342]	train-error:0.074929	eval-error:0.076102
[343]	train-error:0.074857	eval-error:0.076011
[344]	train-error:0.074839	eval-error:0.075921
[345]	train-error:0.074857	eval-error:0.075921
[346]	train-error:0.074929	eval-error:0.076011
[347]	train-error:0.074767	eval-error:0.07574
[348]	train-error:0.074712	eval-error:0.07574
[349]	train-error:0.074694	eval-error:0.075559
[350]	train-error:0.074676	eval-error:0.075559
[351]	train-error:0.074604	eval-error:0.075649
[352]	train-error:0.074676	eval-error:0.07583
[353]	train-error:0.07464	eval-error:0.076011
[354]	train-error:0.074676	eval-error:0.076192
[355]	train-error:0.074694	eval-error:0.076283
[356]	train-error:0.074586	eval-error:0.076011
[357]	train-error:0.074459	eval-error:0.076011
[358]	train-error:0.074495	eval-error:0.076102
[359]	train-error:0.074405	eval-error:0.075921
[360]	train-error:0.074423	eval-error:0.076102
[361]	train-error:0.07435	eval-error:0.07574
[362]	train-error:0.074386	eval-error:0.07574
[363]	train-error:0.07435	eval-error:0.075921
[364]	train-error:0.074332	eval-error:0.07583
[365]	train-error:0.074296	eval-error:0.075649
[366]	train-error:0.074386	eval-error:0.07574
[367]	train-error:0.074278	eval-error:0.075468
[368]	train-error:0.074314	eval-error:0.075287
[369]	train-error:0.074205	eval-error:0.075106
[370]	train-error:0.074151	eval-error:0.074744
[371]	train-error:0.074187	eval-error:0.074925
[372]	train-error:0.074151	eval-error:0.074835
[373]	train-error:0.074115	eval-error:0.074654
[374]	train-error:0.074115	eval-error:0.074835
[375]	train-error:0.074133	eval-error:0.074925
[376]	train-error:0.074043	eval-error:0.074563
[377]	train-error:0.074043	eval-error:0.074563
