/usr/bin/python2.7 /home/symbolk/PycharmProjects/Expr_Var_Predicting/XGBoost_var/main.py
Training var model for dubbo_...
Dataset size: (8237, 12)
Class number: 2
Training set size: (6589, 8)
Validating set size: (1648, 8)
Positive examples : 1794
Negative examples : 6443
Preprossing finished, time cost : 0:00:00.046412
Data splited and saved in ../input/dubbo/var/dubbo_.var_train.csv and ../input/dubbo/var/dubbo_.var_valid.csv
Training set size: (8237, 9)
Validataion set size: (1648, 9)
Model file already exists and be removed.
Training the model...
[0]	train-error:0.134029	eval-error:0.14017
Multiple eval metrics have been passed: 'eval-error' will be used for early stopping.

Will train until eval-error hasn't improved in 100 rounds.
[434]	train-error:0.062523	eval-error:0.077063
[435]	train-error:0.062523	eval-error:0.077063
[436]	train-error:0.062401	eval-error:0.07585
[437]	train-error:0.062401	eval-error:0.07585
[438]	train-error:0.062766	eval-error:0.07585
[439]	train-error:0.062887	eval-error:0.07585
[440]	train-error:0.062644	eval-error:0.076456
[441]	train-error:0.062644	eval-error:0.076456
[442]	train-error:0.062159	eval-error:0.07585
[443]	train-error:0.062766	eval-error:0.07585
[444]	train-error:0.062644	eval-error:0.076456
[445]	train-error:0.062644	eval-error:0.076456
[446]	train-error:0.062766	eval-error:0.076456
[447]	train-error:0.062523	eval-error:0.076456
[448]	train-error:0.06228	eval-error:0.07585
[449]	train-error:0.06228	eval-error:0.07585
Stopping. Best iteration:
[349]	train-error:0.064222	eval-error:0.074636

Model saved in ../model/dubbo_.var_model.pkl
Training fininshed, time cost : 0:01:03.028595
../output/dubbo/var
Testing set size: (6794, 11)
Model loaded from ../model/dubbo_.var_model.pkl
<xgboost.core.Booster object at 0x7fe2c559eed0>
Accuracy: 93.067%
Precision: [ 0.93339713  0.92160612]
Precision: [ 0.93339713  0.92160612], Recall: [ 0.9754      0.80602007], F1_score: [ 0.95393643  0.85994648], Label_nums: [5000 1794]
Predicting finished, time cost : 0:00:24.132937

Process finished with exit code 0

