id	line	column	filename	methodname	varname	vartype	else	return	right
1278	308	8	BaseTestConsumer.java	assertError	found	boolean	1	DEF	$
1279	309	12	BaseTestConsumer.java	assertError	s	int	0	DEF	$ != 1
1280	327	8	BaseTestConsumer.java	assertValue	s	int	0	DEF	$ != 1
1281	331	8	BaseTestConsumer.java	assertValue	v	T	0	DEF	ObjectHelper.equals(value, $)
1281	331	8	BaseTestConsumer.java	assertValue	value	T	0	DEF	ObjectHelper.equals($, v)
58173	350	8	BaseTestConsumer.java	assertNever	i	int	0	NIL-FOR	$ < s
58173	350	8	BaseTestConsumer.java	assertNever	s	int	0	NIL-FOR	i < $
1282	352	12	BaseTestConsumer.java	assertNever	v	T	0	DEF	ObjectHelper.equals($, value)
1282	352	12	BaseTestConsumer.java	assertNever	value	T	0	DEF	ObjectHelper.equals(v, $)
1283	371	8	BaseTestConsumer.java	assertValue	THIS	BaseTestConsumer	0	DEF	$.values.size() > 1
58174	392	8	BaseTestConsumer.java	assertNever	i	int	0	NIL-FOR	$ < s
58174	392	8	BaseTestConsumer.java	assertNever	s	int	0	NIL-FOR	i < $
1284	395	16	BaseTestConsumer.java	assertNever	v	T	0	DEF	valuePredicate.test($)
1284	395	16	BaseTestConsumer.java	assertNever	valuePredicate	Predicate<? super T>	0	DEF	$.test(v)
1285	417	8	BaseTestConsumer.java	assertValueAt	s	int	0	DEF	$ == 0
1286	421	8	BaseTestConsumer.java	assertValueAt	THIS	BaseTestConsumer	0	DEF	index >= $.values.size()
1286	421	8	BaseTestConsumer.java	assertValueAt	index	int	0	DEF	$ >= values.size()
1287	428	12	BaseTestConsumer.java	assertValueAt	THIS	BaseTestConsumer	0	DEF	valuePredicate.test($.values.get(index))
1287	428	12	BaseTestConsumer.java	assertValueAt	index	int	0	DEF	valuePredicate.test(values.get($))
1287	428	12	BaseTestConsumer.java	assertValueAt	valuePredicate	Predicate<T>	0	DEF	$.test(values.get(index))
1288	435	8	BaseTestConsumer.java	assertValueAt	found	boolean	0	DEF	$
1289	447	8	BaseTestConsumer.java	valueAndClass	o	Object	0	RET	$ != null
1290	461	8	BaseTestConsumer.java	assertValueCount	s	int	0	DEF	$ != count
1290	461	8	BaseTestConsumer.java	assertValueCount	count	int	0	DEF	s != $
1291	484	8	BaseTestConsumer.java	assertValues	THIS	BaseTestConsumer	0	DEF	s != values.$.length
1291	484	8	BaseTestConsumer.java	assertValues	s	int	0	DEF	$ != values.length
1291	484	8	BaseTestConsumer.java	assertValues	values	T	0	DEF	s != $.length
58175	488	8	BaseTestConsumer.java	assertValues	i	int	0	NIL-FOR	$ < s
58175	488	8	BaseTestConsumer.java	assertValues	s	int	0	NIL-FOR	i < $
1292	491	12	BaseTestConsumer.java	assertValues	v	T	0	DEF	ObjectHelper.equals(u, $)
1292	491	12	BaseTestConsumer.java	assertValues	u	T	0	DEF	ObjectHelper.equals($, v)
1293	508	8	BaseTestConsumer.java	assertValueSet	expected	Collection<? extends T>	0	RET	$.isEmpty()
1294	513	12	BaseTestConsumer.java	assertValueSet	THIS	BaseTestConsumer	0	DEF	expected.contains($.v)
1294	513	12	BaseTestConsumer.java	assertValueSet	expected	Collection<? extends T>	0	DEF	$.contains(v)
1295	536	12	BaseTestConsumer.java	assertValueSequence	actualNext	boolean	0	DEF	$
1295	536	12	BaseTestConsumer.java	assertValueSequence	expectedNext	boolean	0	DEF	$
1296	543	12	BaseTestConsumer.java	assertValueSequence	v	T	0	DEF	ObjectHelper.equals(u, $)
1296	543	12	BaseTestConsumer.java	assertValueSequence	u	T	0	DEF	ObjectHelper.equals($, v)
1297	549	8	BaseTestConsumer.java	assertValueSequence	actualNext	boolean	0	DEF	$
1298	552	8	BaseTestConsumer.java	assertValueSequence	expectedNext	boolean	0	DEF	$
